word,clue
Car,a vehicle you park in your garage
Duck,a pond animal that waddles and quacks
Dragonfly,a hovering creature near ponds with four transparent appendages
Pillow,a cushion you rest your face on at night
Snowflake,a tiny frozen crystal that drifts from the sky
Dance,moving your body rhythmically to a beat
Hungry,when your stomach growls and you need to eat
Proud,a satisfied feeling after doing something well
Blanket,a large cloth you wrap yourself in to stay cozy
Snail,a tiny shelled creature that moves very gradually
Shanghai,a massive metropolis on the east coast of the mainland
Dinosaur,a prehistoric creature that roamed millions of years ago
Soccer,the world's most popular game played by kicking on a pitch
Japan,an island nation known for samurai and anime
Cheese,a dairy product often melted on crackers
New York,the metropolis known as the center of Manhattan
Husband,the male partner in a marriage
Giraffe,the world's most vertically impressive savanna creature
Michael,a first name shared by Jordan and a famous pop star
Wok,a curved metal pan used for stir-frying
Underwear,the garments worn beneath your pants
Camera,a device used to capture images
Girlfriend,a romantic female partner
Slippers,cozy indoor footwear you slide on at home
Comb,a toothed tool for untangling strands
Glasses,frames with lenses perched on your nose
Hamburger,a ground patty served in a bun
Popcorn,puffed corn you munch at the movies
Polar Bear,a massive arctic mammal with pale fur
Speech,a formal talk delivered to a group
Penguin,a tuxedo-patterned creature from Antarctica
Furious,extremely mad beyond control
Jealousy,the feeling when someone has what you want
Bench,a long outdoor seat often found in gardens
Chicken Leg,a drumstick from a common barnyard fowl
Exercise,physical activity to stay fit and strong
Toilet,the porcelain fixture you flush
Crown,a decorative circlet worn atop royalty
Wish,something you silently ask for when blowing out candles
Princess,a young female member of royalty
Internet,the global network connecting billions of devices
Ice Cream,a frozen dairy dessert often served in scoops
Jacket,an outer garment you zip up when it's chilly
Foreigner,someone from another nation visiting yours
Shower,standing under a spray to wash yourself
Church,a place of worship with pews and stained glass
Wind,moving air you can feel but cannot see
Police,law enforcement officers who patrol the streets
Boots,tall sturdy footwear that covers your ankles
Soy Sauce,a dark fermented condiment for Asian dishes
plane ticket,a boarding pass for air travel
Yoga Teacher,a flexible person who guides stretching classes
Turkey,a large gobbling fowl often roasted for November feasts
Straw,a thin tube you use to sip a beverage
Freezer,the icy compartment where you store frozen goods
Leaf,a flat green part that grows on branches
Noun,a grammar term for a thing or object
Broom,a long-handled tool for cleaning floors
Carry,to lift something and bring it with you
Witch,a spooky figure who casts spells on a broomstick
Taxi,a yellow hired vehicle you hail on the street
Fork,a utensil with tines for poking your dinner
