word,taboo_words
Car,driver ; ride ; transport ; fast ; travel
Duck,"bird ; yellow ; chicken ; ""quack"" ; food"
Dragonfly,Red ; Wings ; Insect ; Fly ; dragon
Pillow,head ; sleep ; soft ; bed ; blanket
Snowflake,cold ; winter ; flower ; snow ; fall
Dance,Shoes ; Romantic ; Music ; Sing ; Town Square
Hungry,feeling ; eat ; food ; breakfast ; meal
Proud,feeling ; Accomplish ; Great ; Boast ; Humble
Blanket,Warm ; Bed ; Pillow ; Soft ; Cold
Snail,Round ; Slow ; River ; Eat ; Animal
Shanghai,Modern ; Big ; China ; Expo ; Famous
Dinosaur,Big ; Animal ; Extinct ; Long Ago ; Reptile
Soccer,Ball ; world Cup ; Black ; Sport ; Team
Japan,Country ; Asia ; Cherry Blossom ; Sushi ; Tokyo
Cheese,Yellow ; White ; Pizza ; Food ; Italy
New York,City ; America ; Big Apple ; Statue of ; Liberty
Husband,Wife ; Ring ; Marry ; Man ; Friend
Giraffe,Tall ; Africa ; Neck ; Long ; Yellow
Michael,Jackson ; Dance ; Thriller ; Strange ; Famous
Wok,Cook ; China ; Iron ; Dishes ; Pot
Underwear,Small ; Clothing ; Every Day ; Secret ; Under
Camera,Photos ; Pictures ; Snapshot ; Travel ; Memories
Girlfriend,Boyfriend ; Beautiful ; Flowers ; Date ; Female
Slippers,Warm ; Feet ; Winter ; House ; Soft
Comb,Brush ; Hair ; Smooth ; Small ; Beautiful
Glasses,Eyes ; See ; Contacts ; Wear ; Face
Hamburger,America ; Beef ; Bread ; McDonalds ; Unhealthy
Popcorn,Kernel ; Butter ; Sweet ; Microwave ; Snack Food
Polar Bear,cold ; Winter ; Alaska ; White ; Snow
Speech,Give ; Speak ; Important ; Audience ; Nervous
Penguin,Bird ; Fly ; Animal ; Black ; White
Furious,Angry ; Red Face ; Hurt ; Rage ; Violent
Jealousy,Envy ; Emotion ; Compare ; Green ; Achieve
Bench,Sit ; Wooden ; Chair ; Long ; Park
Chicken Leg,Bird ; Body ; Eat ; Food ; KFC
Exercise,Run ; Sports ; Healthy ; Daily ; Morning
Toilet,Washroom ; WC ; Pee ; Poop ; Bathroom
Crown,Head ; Gold ; King ; Queen ; Jewels
Wish,Want ; Desire ; Hope ; Dream ; Long For
Princess,Prince ; Queen ; Daughter ; Royal ; Castle
Internet,Computer ; Web ; Surf ; Net ; Technology
Ice Cream,Cold ; Summer ; Sweet ; Snack ; Cone
Jacket,Coat ; Warm ; Clothes ; Sleeves ; Zipper
Foreigner,Teacher ; Different ; Outside ; Country ; Travel
Shower,Rain ; Clean ; Water ; Every Day ; Bath
Church,Sing ; Building ; Cross ; God ; Speaker
Wind,Blow ; Autumn ; Invisible ; Trees ; Kite
Police,Uniform ; Safety ; Peace ; Protect ; Siren
Boots,Winter ; Shoes ; Warm ; Fashion ; Snow
Soy Sauce,Chinese ; Liquid ; Brown ; Cooking ; Salty
plane ticket,Expensive ; Flight ; Travel ; Paper ; Seat
Yoga Teacher,Exercise ; Instructor ; Master ; Chinese ; Help
Turkey,bird ; Holiday ; thanksgiving ; Big ; Tired
Straw,Hollow ; Horses ; Farm ; Drink ; Suck
Freezer,Cold ; Refrigerator ; Ice ; Food ; Kitchen
Leaf,Tree ; Green ; Fall ; Plant ; Page
Noun,Verb ; Speech ; Adjective ; PERSON ; Place
Broom,Sweep ; Floor ; Witch ; Wooden ; Dust
Carry,Hold ; Pick Up ; Move ; Transport ; Support
Witch,Broom ; Green ; Magic ; Halloween ; Powers
Taxi,Car ; Public ; Transport ; Fare ; City
Fork,Spoon ; Knife ; Eat ; Prongs ; Divide
Blossom,Flower ; Young ; Bud ; Spring ; Bloom
Parade,Line ; Crowd ; Floats ; Gather ; Holiday
Fashion,Clothes ; Model ; Girls ; Look ; Magazine
Trash Can,Rubbish ; Barrel ; Worthless ; Ruin ; Old
Wedding,Dress ; White ; married ; Clothes ; SPECIAL
Snowman,Three ; Children ; Make ; Winter ; Outside
Kung Fu Panda,Movie ; China ; Noodles ; Children ; famous
Wings,Bird ; Chicken ; Fly ; Arms ; Feathers
Marker,Write ; Draw ; Colors ; Children ; Art
Pilot,Fly ; Plane ; Helicopter ; Man ; Travel
Lawyer,Argue ; Defend ; Law ; Client ; Crime
Alligator,Crocodile ; Green ; Animal ; Teeth ; Florida
Hair Salon,Style ; Dye ; Wash ; Cut ; Barber
Orange,Color ; Fruit ; Juicy ; Citrus ; Red
Picture Frame,Photo ; Memory ; Wood ; Glass ; Home
Makeup,Face ; Mascara ; Lipstick ; Girls ; Beautiful
Purse,Leather ; Bag ; Money ; Woman ; Carry
Tutor,Teach ; One on One ; Learn ; Make Up ; Review
Worry,Nervous ; Anxiety ; Stress ; Scared ; Trouble
Nervous,Anxious ; Test ; Difficulty ; Pressure ; Scared
Moose,Animal ; Mammal ; Forest ; Antlers ; Hunting
Camel,Humps ; Desert ; Animal ; Water ; Cigarette
Shampoo,Conditioner ; Lather ; Wash ; Hair ; Shower
Watch,Look ; Stare ; Wrist ; Time ; Jewelry
Bridge,Cross ; River ; Build ; Over ; Connect
Brush,Comb ; Hair ; Bristles ; Wooden ; Stroke
License,Driver ; Car ; Card ; Permit ; Allow
Shout,Yell ; Loud ; Speak ; Angry ; Danger
Librarian,Books ; Library ; School ; Job ; Quiet
Unlock,Key ; Door ; Box ; Safe ; Hole
